,rating,category_1
0,1.0,eBook Readers & Accessories
1,5.0,eBook Readers & Accessories
2,5.0,eBook Readers & Accessories
3,5.0,eBook Readers & Accessories
4,4.0,Accessories & Supplies
5,5.0,Accessories & Supplies
6,2.0,Accessories & Supplies
7,5.0,Accessories & Supplies
8,3.0,Accessories & Supplies
9,3.0,Accessories & Supplies
10,3.0,Accessories & Supplies
11,3.0,Accessories & Supplies
12,1.0,Accessories & Supplies
13,1.0,Accessories & Supplies
14,4.0,Accessories & Supplies
15,4.0,Accessories & Supplies
16,3.0,Accessories & Supplies
17,4.0,Accessories & Supplies
18,3.0,Accessories & Supplies
19,2.0,Accessories & Supplies
20,2.0,Accessories & Supplies
21,4.0,Accessories & Supplies
22,1.0,Accessories & Supplies
23,1.0,Accessories & Supplies
24,5.0,Accessories & Supplies
25,5.0,Accessories & Supplies
26,5.0,Accessories & Supplies
27,5.0,Accessories & Supplies
28,4.0,Accessories & Supplies
29,5.0,Accessories & Supplies
30,5.0,Accessories & Supplies
31,5.0,Accessories & Supplies
32,3.0,Accessories & Supplies
33,5.0,Accessories & Supplies
34,5.0,Accessories & Supplies
35,5.0,Accessories & Supplies
36,5.0,Accessories & Supplies
37,5.0,Accessories & Supplies
38,5.0,Computers & Accessories
39,5.0,Computers & Accessories
40,5.0,Accessories & Supplies
41,5.0,Accessories & Supplies
42,5.0,Accessories & Supplies
43,4.0,Accessories & Supplies
44,5.0,Accessories & Supplies
45,5.0,Accessories & Supplies
46,1.0,Accessories & Supplies
47,4.0,Accessories & Supplies
48,5.0,Accessories & Supplies
49,5.0,Accessories & Supplies
50,5.0,Accessories & Supplies
51,5.0,Accessories & Supplies
52,3.0,Computers & Accessories
53,5.0,Computers & Accessories
54,2.0,Computers & Accessories
55,5.0,Computers & Accessories
56,2.0,Computers & Accessories
57,2.0,Computers & Accessories
58,4.0,Computers & Accessories
59,5.0,Computers & Accessories
60,5.0,Computers & Accessories
61,5.0,Computers & Accessories
62,4.0,Computers & Accessories
63,4.0,Computers & Accessories
64,3.0,Computers & Accessories
65,5.0,Computers & Accessories
66,3.0,Computers & Accessories
67,4.0,Computers & Accessories
68,3.0,Computers & Accessories
69,5.0,Computers & Accessories
70,5.0,Computers & Accessories
71,3.0,Computers & Accessories
72,4.0,Computers & Accessories
73,5.0,Computers & Accessories
74,4.0,Computers & Accessories
75,4.0,Computers & Accessories
76,3.0,Computers & Accessories
77,3.0,Computers & Accessories
78,5.0,Computers & Accessories
79,3.0,Computers & Accessories
80,5.0,Computers & Accessories
81,4.0,Portable Audio & Video
82,3.0,Portable Audio & Video
83,4.0,Portable Audio & Video
84,2.0,Portable Audio & Video
85,5.0,Portable Audio & Video
86,4.0,Portable Audio & Video
87,2.0,Portable Audio & Video
88,4.0,Portable Audio & Video
89,5.0,Portable Audio & Video
90,4.0,Portable Audio & Video
91,4.0,Portable Audio & Video
92,5.0,Portable Audio & Video
93,4.0,Portable Audio & Video
94,5.0,Portable Audio & Video
95,5.0,Portable Audio & Video
96,5.0,Portable Audio & Video
97,5.0,Portable Audio & Video
98,5.0,Portable Audio & Video
99,2.0,Portable Audio & Video
100,2.0,Portable Audio & Video
101,4.0,Camera & Photo
102,5.0,Camera & Photo
103,3.0,Camera & Photo
104,2.0,Camera & Photo
105,3.0,Camera & Photo
106,4.0,Camera & Photo
107,3.0,Camera & Photo
108,5.0,Portable Audio & Video
109,2.0,Portable Audio & Video
110,4.0,Portable Audio & Video
111,5.0,Portable Audio & Video
112,5.0,Camera & Photo
113,5.0,Camera & Photo
114,5.0,Camera & Photo
115,5.0,Camera & Photo
116,5.0,Camera & Photo
117,3.0,Portable Audio & Video
118,4.0,Portable Audio & Video
119,4.0,Headphones
120,3.0,Headphones
121,3.0,Headphones
122,5.0,Headphones
123,5.0,Camera & Photo
124,5.0,Camera & Photo
125,1.0,Camera & Photo
126,3.0,Camera & Photo
127,3.0,Camera & Photo
128,4.0,Camera & Photo
129,3.0,Camera & Photo
130,3.0,Camera & Photo
131,1.0,Camera & Photo
132,2.0,Camera & Photo
133,4.0,Camera & Photo
134,3.0,Camera & Photo
135,4.0,Camera & Photo
136,4.0,Camera & Photo
137,4.0,Camera & Photo
138,2.0,Camera & Photo
139,4.0,Camera & Photo
140,4.0,Camera & Photo
141,5.0,Camera & Photo
142,2.0,Camera & Photo
143,3.0,Computers & Accessories
144,5.0,Computers & Accessories
145,4.0,Computers & Accessories
146,4.0,Computers & Accessories
147,4.0,Computers & Accessories
148,5.0,Computers & Accessories
149,4.0,Computers & Accessories
150,5.0,Computers & Accessories
151,4.0,Computers & Accessories
152,3.0,Computers & Accessories
153,4.0,Computers & Accessories
154,4.0,Computers & Accessories
155,5.0,Computers & Accessories
156,5.0,Computers & Accessories
157,4.0,Computers & Accessories
158,5.0,Computers & Accessories
159,5.0,Computers & Accessories
160,3.0,Computers & Accessories
161,3.0,Computers & Accessories
162,5.0,Computers & Accessories
163,5.0,Computers & Accessories
164,5.0,Computers & Accessories
165,3.0,Computers & Accessories
166,5.0,Computers & Accessories
167,5.0,Computers & Accessories
168,5.0,Computers & Accessories
169,5.0,Computers & Accessories
170,4.0,Computers & Accessories
171,5.0,Computers & Accessories
172,5.0,Computers & Accessories
173,3.0,Computers & Accessories
174,2.0,Computers & Accessories
175,5.0,Computers & Accessories
176,3.0,Computers & Accessories
177,5.0,Computers & Accessories
178,4.0,Computers & Accessories
179,4.0,Computers & Accessories
180,4.0,Computers & Accessories
181,5.0,Computers & Accessories
182,4.0,Computers & Accessories
183,5.0,Computers & Accessories
184,3.0,Portable Audio & Video
185,2.0,Portable Audio & Video
186,4.0,Portable Audio & Video
187,5.0,Portable Audio & Video
188,1.0,Portable Audio & Video
189,5.0,Portable Audio & Video
190,1.0,Portable Audio & Video
191,5.0,Portable Audio & Video
192,2.0,Portable Audio & Video
193,2.0,Portable Audio & Video
194,5.0,Portable Audio & Video
195,4.0,Portable Audio & Video
196,5.0,Portable Audio & Video
197,4.0,Portable Audio & Video
198,4.0,Portable Audio & Video
199,4.0,Portable Audio & Video
200,4.0,Portable Audio & Video
201,4.0,Portable Audio & Video
202,4.0,Portable Audio & Video
203,4.0,Portable Audio & Video
204,5.0,Portable Audio & Video
205,5.0,Portable Audio & Video
206,4.0,Camera & Photo
207,5.0,Camera & Photo
208,4.0,Camera & Photo
209,5.0,Camera & Photo
210,5.0,Television & Video
211,5.0,Television & Video
212,1.0,Television & Video
213,1.0,Television & Video
214,5.0,"GPS, Finders & Accessories"
215,4.0,"GPS, Finders & Accessories"
216,5.0,"GPS, Finders & Accessories"
217,3.0,"GPS, Finders & Accessories"
218,5.0,"GPS, Finders & Accessories"
219,2.0,"GPS, Finders & Accessories"
220,5.0,"GPS, Finders & Accessories"
221,2.0,Accessories & Supplies
222,1.0,Accessories & Supplies
223,5.0,Home Audio
224,5.0,Home Audio
225,4.0,Home Audio
226,4.0,Home Audio
227,4.0,Home Audio
228,2.0,Home Audio
229,4.0,Home Audio
230,4.0,Home Audio
231,5.0,Home Audio
232,4.0,Home Audio
233,4.0,Home Audio
234,3.0,Home Audio
235,3.0,Home Audio
236,4.0,Home Audio
237,5.0,Home Audio
238,4.0,Home Audio
239,4.0,Home Audio
240,5.0,Home Audio
241,5.0,Home Audio
242,5.0,Home Audio
243,5.0,Accessories & Supplies
244,3.0,Accessories & Supplies
245,5.0,Accessories & Supplies
246,4.0,Accessories & Supplies
247,4.0,Accessories & Supplies
248,5.0,Accessories & Supplies
249,5.0,Accessories & Supplies
250,2.0,Accessories & Supplies
251,5.0,Accessories & Supplies
252,5.0,Accessories & Supplies
253,5.0,Accessories & Supplies
254,5.0,Accessories & Supplies
255,5.0,Accessories & Supplies
256,5.0,Accessories & Supplies
257,5.0,Accessories & Supplies
258,1.0,Accessories & Supplies
259,4.0,Accessories & Supplies
260,1.0,Accessories & Supplies
261,5.0,Accessories & Supplies
262,5.0,Accessories & Supplies
263,4.0,Accessories & Supplies
264,5.0,Accessories & Supplies
265,2.0,Accessories & Supplies
266,2.0,Accessories & Supplies
267,5.0,Accessories & Supplies
268,1.0,Accessories & Supplies
269,5.0,Accessories & Supplies
270,5.0,Accessories & Supplies
271,5.0,Computers & Accessories
272,5.0,Computers & Accessories
273,1.0,Camera & Photo
274,5.0,Camera & Photo
275,1.0,Camera & Photo
276,5.0,Camera & Photo
277,1.0,Camera & Photo
278,1.0,Camera & Photo
279,5.0,Camera & Photo
280,4.0,Camera & Photo
281,4.0,Camera & Photo
282,5.0,Camera & Photo
283,5.0,Camera & Photo
284,5.0,Camera & Photo
285,5.0,Camera & Photo
286,5.0,Camera & Photo
287,3.0,Home Audio
288,4.0,Home Audio
289,5.0,Home Audio
290,2.0,Home Audio
291,1.0,Home Audio
292,5.0,Home Audio
293,1.0,Home Audio
294,5.0,Home Audio
295,4.0,Camera & Photo
296,3.0,Computers & Accessories
297,3.0,Computers & Accessories
298,4.0,Computers & Accessories
299,5.0,Computers & Accessories
300,4.0,Computers & Accessories
301,3.0,Computers & Accessories
302,4.0,Computers & Accessories
303,3.0,Computers & Accessories
304,5.0,Computers & Accessories
305,5.0,Computers & Accessories
306,5.0,Computers & Accessories
307,4.0,Camera & Photo
308,1.0,Camera & Photo
309,5.0,Camera & Photo
310,5.0,Camera & Photo
311,4.0,Headphones
312,4.0,Headphones
313,4.0,Headphones
314,4.0,Headphones
315,4.0,Headphones
316,5.0,Headphones
317,4.0,Headphones
318,4.0,Headphones
319,5.0,Headphones
320,3.0,Headphones
321,5.0,Headphones
322,5.0,Headphones
323,5.0,Headphones
324,5.0,Headphones
325,4.0,Headphones
326,5.0,Headphones
327,5.0,Headphones
328,5.0,Headphones
329,5.0,Headphones
330,5.0,Headphones
331,5.0,Camera & Photo
332,5.0,Camera & Photo
333,4.0,Camera & Photo
334,5.0,Camera & Photo
335,4.0,Camera & Photo
336,3.0,Camera & Photo
337,2.0,Camera & Photo
338,4.0,Camera & Photo
339,5.0,Camera & Photo
340,1.0,Camera & Photo
341,4.0,Camera & Photo
342,3.0,Camera & Photo
343,4.0,Camera & Photo
344,2.0,Camera & Photo
345,4.0,Camera & Photo
346,1.0,Camera & Photo
347,4.0,Camera & Photo
348,1.0,Camera & Photo
349,5.0,Camera & Photo
350,3.0,Computers & Accessories
351,4.0,Computers & Accessories
352,2.0,Computers & Accessories
353,5.0,Computers & Accessories
354,1.0,Computers & Accessories
355,5.0,Computers & Accessories
356,4.0,Computers & Accessories
357,4.0,Computers & Accessories
358,5.0,Computers & Accessories
359,5.0,Computers & Accessories
360,3.0,Computers & Accessories
361,5.0,Computers & Accessories
362,5.0,Computers & Accessories
363,2.0,Computers & Accessories
364,5.0,Computers & Accessories
365,1.0,Computers & Accessories
366,5.0,Computers & Accessories
367,5.0,Computers & Accessories
368,3.0,Accessories & Supplies
369,4.0,Accessories & Supplies
370,5.0,Accessories & Supplies
371,5.0,Accessories & Supplies
372,5.0,Camera & Photo
373,5.0,Camera & Photo
374,5.0,Camera & Photo
375,5.0,Camera & Photo
376,5.0,Camera & Photo
377,4.0,Camera & Photo
378,5.0,Camera & Photo
379,5.0,Camera & Photo
380,5.0,Camera & Photo
381,5.0,Camera & Photo
382,5.0,Camera & Photo
383,5.0,Camera & Photo
384,5.0,Camera & Photo
385,5.0,Camera & Photo
386,5.0,Camera & Photo
387,4.0,Camera & Photo
388,4.0,Camera & Photo
389,5.0,Camera & Photo
390,5.0,Camera & Photo
391,1.0,Camera & Photo
392,5.0,Camera & Photo
393,3.0,Camera & Photo
394,5.0,Camera & Photo
395,4.0,Camera & Photo
396,5.0,Camera & Photo
397,5.0,Camera & Photo
398,5.0,Camera & Photo
399,4.0,Home Audio
400,5.0,Camera & Photo
401,3.0,Camera & Photo
402,5.0,Camera & Photo
403,5.0,Camera & Photo
404,5.0,Camera & Photo
405,4.0,Camera & Photo
406,3.0,Camera & Photo
407,5.0,Camera & Photo
408,5.0,Camera & Photo
409,5.0,Camera & Photo
410,5.0,Camera & Photo
411,5.0,Camera & Photo
412,4.0,Camera & Photo
413,3.0,Camera & Photo
414,2.0,Camera & Photo
415,4.0,Camera & Photo
416,1.0,Camera & Photo
417,4.0,Camera & Photo
418,5.0,Camera & Photo
419,3.0,Camera & Photo
420,5.0,Car & Vehicle Electronics
421,5.0,Computers & Accessories
422,4.0,Accessories & Supplies
423,1.0,Accessories & Supplies
424,4.0,Computers & Accessories
425,5.0,Computers & Accessories
426,2.0,Computers & Accessories
427,1.0,Computers & Accessories
428,4.0,Computers & Accessories
429,2.0,Computers & Accessories
430,1.0,Computers & Accessories
431,3.0,Computers & Accessories
432,3.0,Computers & Accessories
433,5.0,Computers & Accessories
434,2.0,Computers & Accessories
435,1.0,Computers & Accessories
436,4.0,Computers & Accessories
437,1.0,Computers & Accessories
438,1.0,Computers & Accessories
439,4.0,Computers & Accessories
440,5.0,Computers & Accessories
441,5.0,Computers & Accessories
442,1.0,Computers & Accessories
443,4.0,Computers & Accessories
444,5.0,Computers & Accessories
445,2.0,Computers & Accessories
446,5.0,Computers & Accessories
447,1.0,Computers & Accessories
448,5.0,Computers & Accessories
449,3.0,Computers & Accessories
450,4.0,Computers & Accessories
451,5.0,Computers & Accessories
452,5.0,Computers & Accessories
453,5.0,Computers & Accessories
454,5.0,Computers & Accessories
455,5.0,Computers & Accessories
456,5.0,Computers & Accessories
457,5.0,Computers & Accessories
458,4.0,Computers & Accessories
459,5.0,Computers & Accessories
460,5.0,Computers & Accessories
461,4.0,Computers & Accessories
462,5.0,Computers & Accessories
463,4.0,Computers & Accessories
464,1.0,Accessories & Supplies
465,5.0,Accessories & Supplies
466,3.0,Camera & Photo
467,4.0,Camera & Photo
468,4.0,Camera & Photo
469,4.0,Camera & Photo
470,1.0,Camera & Photo
471,5.0,Camera & Photo
472,5.0,Camera & Photo
473,2.0,Camera & Photo
474,5.0,Camera & Photo
475,1.0,Camera & Photo
476,5.0,Camera & Photo
477,1.0,Camera & Photo
478,1.0,Camera & Photo
479,5.0,Camera & Photo
480,3.0,Camera & Photo
481,1.0,Camera & Photo
482,5.0,Camera & Photo
483,1.0,Camera & Photo
484,1.0,Camera & Photo
485,1.0,Camera & Photo
486,4.0,Home Audio
487,5.0,Home Audio
488,1.0,Home Audio
489,5.0,Home Audio
490,5.0,Home Audio
491,2.0,Home Audio
492,5.0,Home Audio
493,5.0,Home Audio
494,5.0,Home Audio
495,5.0,Home Audio
496,4.0,Home Audio
497,5.0,Home Audio
498,5.0,Home Audio
499,5.0,Home Audio
500,5.0,Home Audio
501,4.0,Home Audio
502,5.0,Home Audio
503,5.0,Home Audio
504,5.0,Home Audio
505,5.0,Home Audio
506,5.0,Accessories & Supplies
507,3.0,Car & Vehicle Electronics
508,4.0,Accessories & Supplies
509,5.0,Camera & Photo
510,4.0,Camera & Photo
511,1.0,Camera & Photo
512,4.0,Camera & Photo
513,5.0,Camera & Photo
514,4.0,Camera & Photo
515,4.0,Camera & Photo
516,4.0,Camera & Photo
517,5.0,Camera & Photo
518,5.0,Camera & Photo
519,5.0,Computers & Accessories
520,5.0,Accessories & Supplies
521,5.0,Accessories & Supplies
522,5.0,Accessories & Supplies
523,5.0,Accessories & Supplies
524,5.0,Accessories & Supplies
525,4.0,Headphones
526,3.0,Headphones
527,5.0,Headphones
528,4.0,Headphones
529,2.0,Headphones
530,5.0,Headphones
531,4.0,Headphones
532,4.0,Headphones
533,4.0,Headphones
534,4.0,Headphones
535,3.0,Headphones
536,5.0,Headphones
537,4.0,Headphones
538,3.0,Headphones
539,4.0,Headphones
540,5.0,Headphones
541,5.0,Headphones
542,4.0,Headphones
543,5.0,Headphones
544,5.0,Headphones
545,5.0,Accessories & Supplies
546,4.0,Accessories & Supplies
547,4.0,Accessories & Supplies
548,3.0,Accessories & Supplies
549,5.0,Accessories & Supplies
